"race","yt_district","candidate","length","uid","uid_ext"
"gov2012","WA","Inslee",32.135,"hCfNcpNnU90","WA_Inslee/hCfNcpNnU90"
"gov2012","WA","Inslee",12.653333,"itqr5RhfOx0","WA_Inslee/itqr5RhfOx0"
"gov2012","WA","Inslee",32.135,"iyd34iYCC6k","WA_Inslee/iyd34iYCC6k"
"gov2012","WA","Inslee",32.135,"j8DUr_0STVo","WA_Inslee/j8DUr_0STVo"
"gov2012","WA","Inslee",32.135,"jncJUnpdI8Y","WA_Inslee/jncJUnpdI8Y"
"gov2012","WA","Inslee",60.115,"L1yPXDRXZFM","WA_Inslee/L1yPXDRXZFM"
"gov2012","WA","Inslee",32.02,"mxBaNzVNQFc","WA_Inslee/mxBaNzVNQFc"
"gov2012","WA","Inslee",31.950656,"r3UEqLr-hAw","WA_Inslee/r3UEqLr-hAw"
"gov2012","WA","Inslee",32.135,"sahcoZyCifY","WA_Inslee/sahcoZyCifY"
"gov2012","WA","Inslee",61.300678,"y85dAYSx_hE","WA_Inslee/y85dAYSx_hE"
"gov2012","WV","Maloney",30.161667,"eoSP0Px-JlY","WV_Maloney/eoSP0Px-JlY"
"gov2012","WV","Maloney",30,"Gd5kEJF8yoU","WV_Maloney/Gd5kEJF8yoU"
"gov2012","WV","Maloney",60.231667,"iisWb_XknhM","WV_Maloney/iisWb_XknhM"
"gov2012","WV","Maloney",30.161667,"lvQ9T70NMOk","WV_Maloney/lvQ9T70NMOk"
"gov2012","WV","Maloney",30.161667,"n6ZLUZo77es","WV_Maloney/n6ZLUZo77es"
"gov2012","WV","Maloney",30.161667,"OH2EwTSiENY","WV_Maloney/OH2EwTSiENY"
"gov2012","WV","Maloney",30,"ryWp2mYcqTU","WV_Maloney/ryWp2mYcqTU"
"gov2012","WV","Maloney",30.185,"snhqp_ef91U","WV_Maloney/snhqp_ef91U"
"gov2012","WV","Maloney",30.185,"XV_mUbU3CwM","WV_Maloney/XV_mUbU3CwM"
"gov2012","WV","Tomblin",30.046611,"-gResrcQw7A","WV_Tomblin/-gResrcQw7A"
"gov2012","WV","Tomblin",30.115,"7hvw7s5CTa4","WV_Tomblin/7hvw7s5CTa4"
"gov2012","WV","Tomblin",30.115,"D76J34e6ev4","WV_Tomblin/D76J34e6ev4"
"gov2012","WV","Tomblin",30,"LMF_Yjdu9Bo","WV_Tomblin/LMF_Yjdu9Bo"
"gov2012","WV","Tomblin",30.091667,"pFBbuG31rh0","WV_Tomblin/pFBbuG31rh0"
"gov2012","WV","Tomblin",30.115,"t_ga2YKPHmU","WV_Tomblin/t_ga2YKPHmU"
"gov2012","WV","Tomblin",30.093056,"WS0VR78aCWY","WV_Tomblin/WS0VR78aCWY"
"gov2014","AK","Parnell",29.535,"bvqCGCFAyZs","AK_Parnell/bvqCGCFAyZs"
"gov2014","AK","Parnell",62.995,"qqRRtCIjt0E","AK_Parnell/qqRRtCIjt0E"
"gov2014","AK","Walker",30.045,"6owFG9s6FIs","AK_Walker/6owFG9s6FIs"
"gov2014","AK","Walker",31.276667,"9vtaQo5aNOc","AK_Walker/9vtaQo5aNOc"
"gov2014","AK","Walker",30,"hqqEfMXUUa4","AK_Walker/hqqEfMXUUa4"
"gov2014","AK","Walker",30.511011,"LAb810syQRs","AK_Walker/LAb810syQRs"
"gov2014","AK","Walker",30.115,"MiV2EieGcso","AK_Walker/MiV2EieGcso"
"gov2014","AK","Walker",30,"ni7N2vokzMA","AK_Walker/ni7N2vokzMA"
"gov2014","AK","Walker",30.069833,"oXvTqm1AOIU","AK_Walker/oXvTqm1AOIU"
"gov2014","AK","Walker",30.556667,"pBwXMIgJ5IE","AK_Walker/pBwXMIgJ5IE"
"gov2014","AK","Walker",30.045,"QtQad9pEIVs","AK_Walker/QtQad9pEIVs"
"gov2014","AK","Walker",30,"skcVEmNQAT8","AK_Walker/skcVEmNQAT8"
"gov2014","AK","Walker",30.116278,"twu-a5bTpDc","AK_Walker/twu-a5bTpDc"
"gov2014","AK","Walker",30.278333,"ytXNZbpSop4","AK_Walker/ytXNZbpSop4"
"gov2014","AK","Walker",29.953733,"yx4f2zK67q0","AK_Walker/yx4f2zK67q0"
"gov2014","AL","Bentley",56.795,"dRroa6gYpk4","AL_Bentley/dRroa6gYpk4"
"gov2014","AL","Griffith",30.231667,"3sTUneQ7-4g","AL_Griffith/3sTUneQ7-4g"
"gov2014","AL","Griffith",30.231667,"6g-YbV6rf2E","AL_Griffith/6g-YbV6rf2E"
"gov2014","AL","Griffith",30.231667,"hMWjBrV5nc0","AL_Griffith/hMWjBrV5nc0"
"gov2014","AL","Griffith",30.231667,"k5vNM-yLZkc","AL_Griffith/k5vNM-yLZkc"
"gov2014","AL","Griffith",30.231667,"lULv86xWBoA","AL_Griffith/lULv86xWBoA"
"gov2014","AL","Griffith",30.208333,"TAU8XCtXDPU","AL_Griffith/TAU8XCtXDPU"
"gov2014","AL","Griffith",30.208333,"Vcky67wLACM","AL_Griffith/Vcky67wLACM"
"gov2014","AR","Hutchinson",28.328333,"26lPmdrnH2k","AR_Hutchinson/26lPmdrnH2k"
"gov2014","AR","Hutchinson",59.233333,"86iCCcjKkUE","AR_Hutchinson/86iCCcjKkUE"
"gov2014","AR","Hutchinson",15.068333,"9cEK3KzNgQE","AR_Hutchinson/9cEK3KzNgQE"
